"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"24-Jul-2008","     4476.20","     4539.45","     4385.85","     4433.55","      177026127","         9273.39"
"25-Jul-2008","     4440.85","     4440.85","     4297.15","     4311.85","      161681204","         8516.00"
"28-Jul-2008","     4282.25","     4352.65","     4282.25","     4332.10","      111107965","         6373.98"
"29-Jul-2008","     4332.20","     4332.20","     4159.15","     4189.85","      125806260","         6619.90"
"30-Jul-2008","     4191.20","     4327.00","     4191.20","     4313.55","      151936263","         6961.45"
"31-Jul-2008","     4314.35","     4342.00","     4285.55","     4332.95","      199677047","         8696.31"
"01-Aug-2008","     4331.60","     4422.95","     4235.70","     4413.55","      178077599","         8847.63"
"04-Aug-2008","     4426.10","     4436.15","     4362.90","     4395.35","      131343663","         6486.48"
"05-Aug-2008","     4395.80","     4515.15","     4376.00","     4502.85","      194984174","         9605.56"
"06-Aug-2008","     4506.25","     4615.90","     4503.90","     4517.55","      175692787","        10274.94"
"07-Aug-2008","     4515.25","     4580.15","     4493.70","     4523.85","      133711940","         6889.61"
"08-Aug-2008","     4518.35","     4546.35","     4464.00","     4529.50","      114202272","         6271.09"
"11-Aug-2008","     4529.35","     4625.20","     4529.35","     4620.40","      112939704","         6625.21"
"12-Aug-2008","     4620.95","     4649.85","     4525.75","     4552.25","      123375933","         7422.01"
"13-Aug-2008","     4548.05","     4572.65","     4497.25","     4529.05","      105825121","         5839.48"
"14-Aug-2008","     4524.20","     4529.80","     4421.25","     4430.70","       95028617","         5504.90"
"18-Aug-2008","     4430.70","     4447.40","     4379.85","     4393.05","       96897991","         4985.84"
"19-Aug-2008","     4393.10","     4393.70","     4316.55","     4368.25","       96476193","         4516.55"
"20-Aug-2008","     4365.45","     4434.90","     4365.45","     4415.75","       89434446","         4425.10"
"21-Aug-2008","     4416.20","     4418.55","     4271.30","     4283.85","       91313625","         4323.68"
"22-Aug-2008","     4283.85","     4337.00","     4248.00","     4327.45","      101435362","         5226.24"
"25-Aug-2008","     4317.95","     4398.80","     4317.95","     4335.35","       79239792","         3884.68"
"26-Aug-2008","     4335.20","     4345.05","     4283.30","     4337.50","       86937484","         4775.57"
"27-Aug-2008","     4336.85","     4364.25","     4282.65","     4292.10","       84380597","         4599.49"
"28-Aug-2008","     4290.75","     4304.50","     4201.85","     4214.00","      161197240","         7578.62"
"29-Aug-2008","     4230.60","     4368.80","     4230.60","     4360.00","      111455760","         5593.43"
"01-Sep-2008","     4356.10","     4365.00","     4281.35","     4348.65","       82996531","         4220.01"
"02-Sep-2008","     4358.85","     4522.40","     4343.10","     4504.00","      129292702","         6921.58"
"04-Sep-2008","     4512.95","     4514.60","     4419.45","     4447.75","      114713208","         6535.50"
"05-Sep-2008","     4444.70","     4444.70","     4328.90","     4352.30","      108583037","         6126.78"
"08-Sep-2008","     4358.30","     4558.00","     4358.30","     4482.30","      117351175","         6615.67"
"09-Sep-2008","     4485.15","     4497.50","     4418.95","     4468.70","       95544721","         5488.20"
"10-Sep-2008","     4467.50","     4467.50","     4382.35","     4400.25","      134790277","         6781.74"
"11-Sep-2008","     4397.25","     4399.30","     4272.75","     4290.30","      116723061","         6537.95"
"12-Sep-2008","     4291.60","     4323.90","     4200.15","     4228.45","      145748456","         7980.37"
"15-Sep-2008","     4231.95","     4237.25","     3955.40","     4072.90","      147158815","         7114.00"
"16-Sep-2008","     4072.55","     4090.10","     3919.35","     4074.90","      159518028","         7727.19"
"17-Sep-2008","     4074.80","     4116.70","     3974.60","     4008.25","      153414046","         7674.90"
"18-Sep-2008","     4005.25","     4050.10","     3799.55","     4038.15","      203882671","        10125.95"
"19-Sep-2008","     4040.80","     4262.65","     4040.80","     4245.25","      206052260","        10221.99"
"22-Sep-2008","     4248.95","     4303.25","     4202.40","     4223.05","      137082447","         6859.81"
"23-Sep-2008","     4223.90","     4224.70","     4117.90","     4126.90","      125527290","         6237.87"
"24-Sep-2008","     4125.75","     4207.95","     4115.85","     4161.25","      156072253","         7260.87"
"25-Sep-2008","     4162.15","     4172.60","     4077.50","     4110.55","      217958856","         9235.83"
"26-Sep-2008","     4108.75","     4110.70","     3970.35","     3985.25","      133851369","         5968.78"
"29-Sep-2008","     3990.20","     3997.55","     3777.30","     3850.05","      187237452","         8386.98"
"30-Sep-2008","     3848.70","     3966.85","     3715.05","     3921.20","      217095428","         9659.09"
"01-Oct-2008","     3921.85","     4000.50","     3861.25","     3950.75","      149863209","         6448.37"
"03-Oct-2008","     3953.55","     3969.55","     3804.85","     3818.30","      172679745","         7919.46"
"06-Oct-2008","     3817.30","     3820.85","     3581.60","     3602.35","      157489980","         6565.56"
"07-Oct-2008","     3606.95","     3732.65","     3537.00","     3606.60","      210246893","         8291.13"
"08-Oct-2008","     3604.40","     3604.40","     3329.45","     3513.65","      228575994","         8649.95"
"10-Oct-2008","     3502.05","     3502.05","     3198.95","     3279.95","      283977364","        10857.92"
"13-Oct-2008","     3272.90","     3510.20","     3272.90","     3490.70","      195385035","         7706.83"
"14-Oct-2008","     3494.10","     3648.25","     3491.50","     3518.65","      177533438","         7429.54"
"15-Oct-2008","     3517.90","     3518.50","     3324.55","     3338.40","      163717675","         6602.25"
"16-Oct-2008","     3333.85","     3333.85","     3099.90","     3269.30","      234077842","         8631.26"
"17-Oct-2008","     3269.05","     3335.95","     3046.60","     3074.35","      194265455","         7053.18"
"20-Oct-2008","     3108.20","     3238.40","     3058.95","     3122.80","      186324892","         6544.53"
"21-Oct-2008","     3125.40","     3254.85","     3117.35","     3234.90","      225718997","         7448.58"
"22-Oct-2008","     3234.70","     3235.75","     3051.80","     3065.15","      171324331","         5622.57"
"23-Oct-2008","     3064.80","     3085.10","     2917.15","     2943.15","      234116773","         7270.91"
"24-Oct-2008","     2936.25","     2936.25","     2525.05","     2584.00","      348595400","         7843.42"
"27-Oct-2008","     2583.75","     2585.30","     2252.75","     2524.20","      341552313","         7012.78"
"28-Oct-2008","     2526.20","     2695.95","     2526.20","     2684.60","       51206468","         1038.24"
"29-Oct-2008","     2685.30","     2781.25","     2631.90","     2697.05","      361640496","         8164.76"
"31-Oct-2008","     2696.30","     2921.35","     2696.30","     2885.60","      320836935","         8963.96"
"03-Nov-2008","     2885.40","     3062.05","     2885.40","     3043.85","      240443755","         6642.53"
"04-Nov-2008","     3050.25","     3152.30","     2985.00","     3142.10","      304637885","         7478.44"
"05-Nov-2008","     3155.75","     3240.55","     2971.00","     2994.95","      305687563","         8531.19"
"06-Nov-2008","     2998.45","     3007.80","     2860.25","     2892.65","      268176655","         7178.24"
"07-Nov-2008","     2893.25","     3010.00","     2860.10","     2973.00","      246638152","         6140.33"
"10-Nov-2008","     2973.30","     3161.25","     2973.30","     3148.25","      251108020","         5985.46"
"11-Nov-2008","     3147.20","     3147.20","     2919.45","     2938.65","      221654127","         5857.01"
"12-Nov-2008","     2937.90","     2975.20","     2794.95","     2848.45","      250791310","         7010.66"
"14-Nov-2008","     2848.00","     2938.80","     2778.80","     2810.35","      257081847","         7423.62"
"17-Nov-2008","     2813.40","     2835.70","     2694.50","     2799.55","      251219581","         6367.92"
"18-Nov-2008","     2802.45","     2802.45","     2664.30","     2683.15","      220347375","         5742.53"
"19-Nov-2008","     2682.75","     2772.40","     2617.90","     2635.00","      230509310","         6447.35"
"20-Nov-2008","     2634.20","     2634.20","     2502.90","     2553.15","      204791432","         5330.61"
"21-Nov-2008","     2553.60","     2718.60","     2539.80","     2693.45","      281247780","         6700.25"
"24-Nov-2008","     2690.85","     2740.35","     2633.80","     2708.25","      236797126","         5998.79"
"25-Nov-2008","     2708.30","     2790.70","     2638.20","     2654.00","      214273358","         5619.27"
"26-Nov-2008","     2652.45","     2762.60","     2643.35","     2752.25","      269948758","         6429.24"
"28-Nov-2008","     2745.70","     2779.00","     2690.30","     2755.10","      296322562","         7237.78"
"01-Dec-2008","     2755.15","     2832.85","     2669.50","     2682.90","      257834565","         6122.02"
"02-Dec-2008","     2672.90","     2672.90","     2570.70","     2657.80","      261046123","         5651.31"
"03-Dec-2008","     2657.50","     2693.65","     2611.95","     2656.45","      282545081","         5912.82"
"04-Dec-2008","     2656.50","     2793.80","     2646.35","     2788.00","      324695285","         6538.53"
"05-Dec-2008","     2786.65","     2821.15","     2701.35","     2714.40","      319248265","         6448.61"
"08-Dec-2008","     2714.70","     2861.55","     2714.70","     2784.00","      311403332","         6951.99"
"10-Dec-2008","     2785.70","     2940.15","     2785.70","     2928.25","      370599341","         8130.79"
"11-Dec-2008","     2934.05","     2945.30","     2861.55","     2920.15","      352245716","         7844.91"
"12-Dec-2008","     2915.35","     2936.80","     2812.55","     2921.35","      284387903","         7103.03"
"15-Dec-2008","     2917.90","     3012.10","     2917.90","     2981.20","      293737834","         7133.08"
"16-Dec-2008","     2983.60","     3052.55","     2963.30","     3041.75","      270617321","         6893.06"
"17-Dec-2008","     3040.45","     3076.20","     2943.50","     2954.35","      344614834","         8567.60"
"18-Dec-2008","     2955.35","     3072.55","     2922.65","     3060.75","      377032468","         9042.19"
"19-Dec-2008","     3063.00","     3106.80","     3036.30","     3077.50","      386314136","         8344.82"
"22-Dec-2008","     3077.25","     3110.45","     3027.80","     3039.30","      315828829","         6101.36"
"23-Dec-2008","     3039.25","     3040.00","     2957.05","     2968.65","      303129447","         5705.38"
"24-Dec-2008","     2967.40","     2968.00","     2900.45","     2916.85","      380460882","         6975.71"
"26-Dec-2008","     2919.85","     2960.95","     2844.80","     2857.25","      237935397","         4558.90"
"29-Dec-2008","     2857.15","     2931.80","     2812.90","     2922.20","      335171811","         6367.55"
"30-Dec-2008","     2922.55","     2999.15","     2899.75","     2979.50","      302749136","         5819.50"
"31-Dec-2008","     2979.80","     3002.65","     2937.35","     2959.15","      288826411","         5707.75"
